query_index,sparql_query,generated_question,explanation_nl,explanation_found,explanation_tag_length,explanation_count,explanation_steps_count,triple_keys,answer_count,language,answer_type,task_type,model,model_version_sparql,python_version,timestamp_request,response_time_sec,success,temperature,max_tokens,top_p,presence_penalty,frequency_penalty
0,ASK WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },Is Gwendoline Heath a domain entity?,Gwendoline Heath was a person. A person is a type of domain entity.,True,3,1,2,DomainEntity(3),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:41:43.350115,0.878,True,0.0,4096,1.0,0.0,0.0
1,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does Gwendoline Heath belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:41:44.271584,0.802,True,0.0,4096,1.0,0.0,0.0
2,ASK WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },Is Gwendoline Heath a person?,"Gwendoline Heath, born in 1878, is a blood relation of Gwendoline Heath, born in 1878. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation. The person has a relationship.",True,5,10,3,Person(5),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:41:48.469707,0.513,True,0.0,4096,1.0,0.0,0.0
3,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does Gwendoline Heath belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:41:49.597433,1.026,True,0.0,4096,1.0,0.0,0.0
4,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.example.com/genealogy.owl#isSisterOf> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },Is Ada Rachel Heath the sister of Gwendoline Heath?,"Gwendoline Heath, born in 1878, has a sister named Ada Rachel Heath, who was born in 1868. The relationship ""is sister of"" is the inverse of the relationship ""has sister.",True,3,2,2,gwendoline_heath_1878(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:41:55.971233,1.129,True,0.0,4096,1.0,0.0,0.0
5,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#hasChild> <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> },Does Sarah Jacobs have a child named Ada Rachel Heath?,"Ada Rachel Heath, born in 1868, is the child of Sarah Jacobs, born in 1834. Having a child is the opposite of being a child of someone.",True,3,1,2,ada_rachel_heath_1868(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:41:58.927167,0.895,True,0.0,4096,1.0,0.0,0.0
6,ASK WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Man> },Is James Steward a man?,"Ada Steward, born in 1871, has a father named James Steward, born in 1830. Range Man has a father.",True,2,1,2,Man(2),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:42:01.503220,0.694,True,0.0,4096,1.0,0.0,0.0
7,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does James Steward belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:02.277930,0.673,True,0.0,4096,1.0,0.0,0.0
8,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Ancestor> },Is Susannah Tacey an ancestor?,"Susannah Tacey is a person. Susannah Tacey, born in 1834, is an ancestor of Ada Steward, born in 1871. Ada Steward is a person. The complex intersection is satisfied by two components.",True,5,1,4,Ancestor(5),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:07.108537,0.614,True,0.0,4096,1.0,0.0,0.0
9,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does Susannah Tacey belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:42:07.738375,0.527,True,0.0,4096,1.0,0.0,0.0
10,ASK WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },Is James Steward a domain entity?,James Steward is a person. A person is a type of domain entity.,True,3,1,2,DomainEntity(3),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:42:10.587440,0.898,True,0.0,4096,1.0,0.0,0.0
11,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does James Steward belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:11.713267,1.024,True,0.0,4096,1.0,0.0,0.0
