Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Avg Min Explanation Size,Avg Max Explanation Size,Avg Explanation Count,Task ID temp,Bin_Size of ontology ABox,Bin_Avg Min Explanation Size,strata,split,Language,Question
1hop-Person_john_william_folland-ada-isSpouseOf-BIN,Person_john_william_folland,43,5,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.example.com/genealogy.owl#isSpouseOf> <http://www.example.com/genealogy.owl#john_william_folland> },isSpouseOf,true,2,2,8,1hop-Person_john_william_folland-ada-isSpouseOf,1.0,17.0,1.0_17.0,train,English,Is Ada Rachel Heath married to John William Folland?
1hop-Person_john_william_folland-ada-isSpouseOf-MC,Person_john_william_folland,43,5,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.example.com/genealogy.owl#isSpouseOf> ?object },isSpouseOf,john_william_folland,2,2,8,1hop-Person_john_william_folland-ada-isSpouseOf,1.0,17.0,1.0_17.0,train,English,Who is the spouse of Ada Rachel Heath?
1hop-Person_john_william_folland-ada-type-BIN,Person_john_william_folland,43,5,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },type,true,1,2,10,1hop-Person_john_william_folland-ada-type,1.0,8.0,1.0_8.0,train,English,Is Ada Rachel Heath a person?
1hop-Person_john_william_folland-m135-type-BIN,Person_john_william_folland,43,5,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#m135> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },type,true,1,2,10,1hop-Person_john_william_folland-m135-type,1.0,8.0,1.0_8.0,train,English,"Is the entity with the identifier ""m135"" classified as a Domain Entity?"
1hop-Person_john_william_folland-m135-type-BIN,Person_john_william_folland,43,5,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#m135> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Marriage> },type,true,1,2,9,1hop-Person_john_william_folland-m135-type,1.0,8.0,1.0_8.0,train,English,Is the individual identified as m135 involved in a marriage?
1hop-Person_john_william_folland-ada-type-BIN,Person_john_william_folland,43,5,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },type,true,1,2,10,1hop-Person_john_william_folland-ada-type,1.0,8.0,1.0_8.0,train,English,Is Ada Rachel Heath a domain entity?
1hop-Person_john_william_folland-ada-type-BIN,Person_john_william_folland,43,5,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Woman> },type,true,1,2,5,1hop-Person_john_william_folland-ada-type,1.0,8.0,1.0_8.0,train,English,Is Ada Rachel Heath a woman?
1hop-Thing_ada_rachel_heath_1868-gwendoline-hasFather-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.example.com/genealogy.owl#hasFather> <http://www.example.com/genealogy.owl#john_heath> },hasFather,true,1,2,10,1hop-Thing_ada_rachel_heath_1868-gwendoline-hasFather,9.0,8.0,9.0_8.0,train,English,Does Gwendoline Heath have John Heath as her father?
1hop-Thing_ada_rachel_heath_1868-sarah-hasHusband-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#hasHusband> <http://www.example.com/genealogy.owl#john_heath> },hasHusband,true,2,3,10,1hop-Thing_ada_rachel_heath_1868-sarah-hasHusband,9.0,17.0,9.0_17.0,train,English,Does Sarah Jacobs have John Heath as her husband?
1hop-Thing_ada_rachel_heath_1868-lemuel-hasSister-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#lemuel_frederick_heath_1871> <http://www.example.com/genealogy.owl#hasSister> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },hasSister,true,1,2,10,1hop-Thing_ada_rachel_heath_1868-lemuel-hasSister,9.0,8.0,9.0_8.0,train,English,Does Lemuel Frederick Heath have a sister named Gwendoline Heath?
