Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Avg Min Explanation Size,Avg Max Explanation Size,Avg Explanation Count,Task ID temp,Bin_Size of ontology ABox,Bin_Avg Min Explanation Size,strata,split
1hop-Thing_ada_steward_1871-ada-hasFather-BIN,Thing_ada_steward_1871,43,4,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasFather> <http://www.example.com/genealogy.owl#james_steward_1830> },hasFather,true,1,2,10,1hop-Thing_ada_steward_1871-ada-hasFather,5.0,,5.0_nan,train
1hop-Thing_ada_steward_1871-ada-hasFather-MC,Thing_ada_steward_1871,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasFather> ?object },hasFather,james_steward_1830,1,2,10,1hop-Thing_ada_steward_1871-ada-hasFather,5.0,,5.0_nan,train
1hop-Thing_alan_john_dowse_1936-ethel-hasChild-BIN,Thing_alan_john_dowse_1936,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasChild> <http://www.example.com/genealogy.owl#alan_john_dowse_1936> },hasChild,true,1,3,10,1hop-Thing_alan_john_dowse_1936-ethel-hasChild,3.0,,3.0_nan,train
1hop-Thing_alan_john_dowse_1936-alan-hasRelation-BIN,Thing_alan_john_dowse_1936,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#martin_dowse_1944> },hasRelation,true,1,4,10,1hop-Thing_alan_john_dowse_1936-alan-hasRelation,3.0,,3.0_nan,train
1hop-Thing_alan_john_dowse_1936-alan-hasRelation-BIN,Thing_alan_john_dowse_1936,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ethel_archer_1912> },hasRelation,true,1,2,6,1hop-Thing_alan_john_dowse_1936-alan-hasRelation,3.0,,3.0_nan,train
1hop-Thing_alan_john_dowse_1936-alan-hasRelation-BIN,Thing_alan_john_dowse_1936,43,3,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#maureen_dowse_1939> },hasRelation,true,1,4,10,1hop-Thing_alan_john_dowse_1936-alan-hasRelation,3.0,,3.0_nan,train
1hop-Thing_alan_john_dowse_1936-ethel-hasChild-MC,Thing_alan_john_dowse_1936,43,3,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasChild> ?object },hasChild,alan_john_dowse_1936,1,3,10,1hop-Thing_alan_john_dowse_1936-ethel-hasChild,3.0,,3.0_nan,train
1hop-Thing_alan_john_dowse_1936-alan-hasRelation-MC,Thing_alan_john_dowse_1936,43,3,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"maureen_dowse_1939, martin_dowse_1944, ethel_archer_1912",1,3,9,1hop-Thing_alan_john_dowse_1936-alan-hasRelation,3.0,,3.0_nan,train
1hop-Thing_alan_john_dowse_1936--type-MC,Thing_alan_john_dowse_1936,43,3,Membership,Multi Choice,SELECT ?class WHERE { <http://www.example.com/genealogy.owl#martin_dowse_1944> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?class },type,"Person, DomainEntity",2,2,10,1hop-Thing_alan_john_dowse_1936--type,3.0,0.0,3.0_0.0,train
1hop-Thing_alan_john_dowse_1936--type-MC,Thing_alan_john_dowse_1936,43,3,Membership,Multi Choice,SELECT ?class WHERE { <http://www.example.com/genealogy.owl#maureen_dowse_1939> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?class },type,"Person, DomainEntity",2,5,10,1hop-Thing_alan_john_dowse_1936--type,3.0,0.0,3.0_0.0,train
